




﻿No. of App.,Application date,Acceptance date,Description of project and contract works,Project postcode,Claimed amount (ex GST),Payment Schedule provided,Payment Schedule provision,Amount of Payment Schedule (ex GST),Section of Act application made under,Section 18(2) notice issued,Business Type/Activity (Claimant),Business Structure (Claimant),Claimant advisers,Business Type/Activity (Respondent),Business Structure (Respondent),Respondent advisers,Determination status,Determination completion date,Reasons if the application is not determined,s21(2B) new reasons provided by Respondent,s21(2B) notice sent to Claimant,s22(4)(b) extension of time sought,Determination released,Determination released date, Adjudicated amount (ex GST) ,Amended determination,Fee type,Total Adjudicator fee (ex GST),Adjudicator's fee payable by Claimant %,Adjudicator's fee payable by Respondent %,Adjudicator's fee payable by Claimant (ex GST),Adjudicator's fee payable by Respondent (ex GST),Other Adjudicator fees,Value of other Adjudicator fees (ex GST),ANA application fee (ex GST),Adjudication Certificate issued,Adjudication Certificate fee (ex GST),Date Adjudication Certificate issued,Other ANA fees,Value of Other ANA fees (ex GST),Adjudicator fee charged,ANA percentage of Adjudicator fee %,ANA fee from Adjudicator fee (ex GST),Adjudicator share of adjudicator fee - amount
225,25-Mar-2022,30-Mar-2022,"Sewer, Storm Water, Fire",3978,"136,795.72",Yes,s15,0.00,s.18(1)(a)(i),N/A,Other,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Consultant,Determined,13-Apr-2022,N/A,Yes,Yes,No ,Yes,03-May-2022,"32,349.72",,Hourly,"12,681.82",100.0000%,0.0000%,"12,681.82",0.00,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,33.3300%,"4,227.27","8,454.55"
226,28-Mar-2022,28-Mar-2022,Construction works,3004,"34,409,879.00",Yes,s15,"-11,075,567.00",s.18(1)(a)(i),N/A,Other,Pty Ltd Company,Not known,Other,Pty Ltd Company,Solicitors,Not determined,N/A,Timed out,N/A,N/A,N/A,N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
227,28-Mar-2022,30-Mar-2022,Structural steel works,3123,"28,824.55",Yes,s15,0.00,s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,None,Determined,08-Apr-2022,N/A,Yes,Yes,Yes,Yes,08-Apr-2022,"28,824.55",,Capped,"3,500.00",0.0000%,100.0000%,0.00,"3,500.00",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,525.00,"2,975.00"
228,30-Mar-2022,05-Apr-2022,Plastering and Framing,3032,"126,580.91",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,27-Apr-2022,N/A,No ,No,No,Yes,03-May-2022,"62,096.48",,Hourly,"11,965.91",40.0000%,60.0000%,"4,786.37","7,179.54",N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,33.3300%,"3,988.64","7,977.27"
229,30-Mar-2022,04-Apr-2022,Shop Fit out,3163,"12,772.00",No,N/A,N/A,s.18(1)(b),Yes,Trade Contractor,Pty Ltd Company,Claim preparer,Head contractor,Trust,Solicitors,Determined,20-Apr-2022,N/A,N/A,N/A,N/A,Yes,21-Apr-2022,"12,772.00",,Fixed,990.00,0.0000%,100.0000%,0.00,990.00,Merchant Fees,12.47,N/A,No,N/A,N/A,N/A,N/A,N/A,33.3300%,330.00,660.00
230,05-Apr-2022,06-Apr-2022,Electrical supply and installation,3996,"5,004.55",Yes,s15,0.00,s.18(1)(a)(i),N/A,Head contractor,Pty Ltd Company,None,Developer,Other,None,Determined,22-Apr-2022,N/A,No,N/A,No,Yes,22-Apr-2022,"5,004.55",,Capped,600.00,0.0000%,100.0000%,0.00,600.00,N/A,N/A,0.00,Yes,0.00,02-May-2022,N/A,N/A,Yes,15.0000%,90.00,510.00
231,05-Apr-2022,08-Apr-2022,Supply and Install balustrading and louvred slat panels,3140,"18,072.73",Yes,s15,0.00,s.18(1)(a)(i),N/A,Consultant,Pty Ltd Company,Claim preparer,Major subcontractor,Pty Ltd Company,Not known,Determined,27-Apr-2022,N/A,No,N/A,No,Yes,29-Apr-2022,"18,072.73",,Hourly,"1,813.64",0.0000%,100.0000%,0.00,"1,813.64",N/A,N/A,N/A,Yes,300.00,11-May-2022,N/A,N/A,Yes,33.3300%,604.55,"1,209.09"
232,06-Apr-2022,11-Apr-2022,Alterations in existing dwelling,3103,"12,727.27",No,N/A,N/A,s.18(1)(b),Yes,Head contractor,Sole Trader,Solicitors,Head contractor,Pty Ltd Company,Not known,Determined,21-Apr-2022,N/A,No,N/A,No,Yes,22-Apr-2022,"12,727.27",,Fixed,990.00,0.0000%,100.0000%,0.00,990.00,N/A,N/A,N/A,Yes,100.00,05-May-2022,N/A,N/A,Yes,33.3300%,330.00,660.00
233,06-Apr-2022,12-Apr-2022,Concrete structure works ,3057,"241,314.00",No,N/A,N/A,s.18(1)(b),Yes,Major subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Not known,Determined,02-May-2022,N/A,No,N/A,No,Yes,03-May-2022,"241,314.00",,Hourly,"2,045.45",0.0000%,100.0000%,0.00,"2,045.45",N/A,N/A,N/A,Yes,500.00,16-May-2022,Merchant fees,3.70,Yes,33.3300%,681.82,"1,363.63"
234,06-Apr-2022,N/A,Earthworks,3029,"5,956.00",No,N/A,N/A,s.18(1)(b),Yes,Supplier,Pty Ltd Company,None,Other,Pty Ltd Company,Not known,Not determined,N/A,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,0.00,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
235,06-Apr-2022,N/A,Earthworks,3336,"3,270.00",No,N/A,N/A,s.18(1)(b),Yes,Supplier,Pty Ltd Company,None,Other,Pty Ltd Company,Not known,Not determined,N/A,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,0.00,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
236,06-Apr-2022,N/A,Earthworks,3024,"2,567.50",No,N/A,N/A,s.18(1)(b),Yes,Supplier,Pty Ltd Company,None,Other,Pty Ltd Company,Not known,Not determined,N/A,Settled by parties,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
237,08-Apr-2022,13-Apr-2022,Metal Work,3140,"367,980.79",Yes,s15,"5,436.60",s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,Consultant,Not determined,N/A,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,0.00,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,N/A,N/A,0.00
238,08-Apr-2022,14-Apr-2022,Providing Site Engineer and a Project Engineer ,3030,"42,300.00",No,N/A,N/A,s.18(1)(b),Yes,Consultant,Pty Ltd Company,None,Head contractor,Pty Ltd Company,Not known,Determined,03-May-2022,N/A,No,N/A,No,Yes,04-May-2022,"42,300.00",,Hourly,"2,147.73",0.0000%,100.0000%,0.00,"2,147.73",Merchant Fees,28.99,N/A,Yes,500.00,13-May-2022,Merchant fees,3.65,Yes,33.3300%,715.91,"1,431.82"
239,09-Apr-2022,13-Apr-2022,Supply of structural steel,3123,"75,649.91",Yes,s18,"28,072.64",s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,Solicitors,Determined,02-May-2022,N/A,No,No,Yes,Yes,02-May-2022,0.00,,Capped,"5,000.00",100.0000%,0.0000%,"5,000.00",0.00,N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,750.00,"4,250.00"
240,10-Apr-2022,14-Apr-2022,Steel Fabrication,3195,"31,280.64",Yes,s15,0.00,s.18(1)(a)(i),N/A,Manufacturer of building materials or components,Pty Ltd Company,None,Head contractor,Other,Not known,Determined,05-May-2022,N/A,N/A,N/A,No,Yes,09-May-2022,"20,475.14",,Hourly,"2,897.73",0.0000%,100.0000%,0.00,"2,897.73",N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,33.3300%,965.91,"1,931.82"
241,11-Apr-2022,19-Apr-2022,Commercial Contracts Officer,3840,"132,500.00",No,N/A,N/A,s.18(1)(b),Yes,Major subcontractor,Pty Ltd Company,None,Developer,Pty Ltd Company,Not known,Determined,03-May-2022,N/A,N/A,N/A,No,Yes,12-May-2022,"115,000.00",,Hourly,"1,534.09",0.0000%,100.0000%,0.00,"1,534.09",N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,33.3300%,511.36,"1,022.73"
242,11-Apr-2022,12-Apr-2022,"Design, fabrication and supply of steel framing for multi-unit development",3078,"53,679.39",Yes,s18,0.00,s.18(1)(a)(i),Yes,Trade subcontractor,Pty Ltd Company,Claim preparer,Head contractor,Pty Ltd Company,Not known,Determined,09-May-2022,N/A,No,No,No,Yes,11-May-2022,"53,218.00",,Hourly,"7,260.00",10.0000%,90.0000%,726.00,"6,534.00",0,0.00,0.00,No,N/A,N/A,N/A,0.00,Yes,25.0000%,"1,815.00","5,445.00"
243,11-Apr-2022,19-Apr-2022,Engineering Advisor ,3840,"107,590.91",No,N/A,N/A,s.18(1)(b),Yes,Major subcontractor,Pty Ltd Company,None,Developer,Pty Ltd Company,Not known,Determined,03-May-2022,N/A,N/A,N/A,No,Yes,12-May-2022,"107,590.91",,Hourly,"1,534.09",0.0000%,100.0000%,0.00,"1,534.09",N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,33.3300%,511.36,"1,022.73"
244,11-Apr-2022,19-Apr-2022,Engineering Advisor ,3840,"900,000.00",No,N/A,N/A,s.18(1)(b),Yes,Major subcontractor,Pty Ltd Company,None,Developer,Pty Ltd Company,Not known,Determined,03-May-2022,N/A,N/A,N/A,No,Yes,12-May-2022,"900,000.00",,Hourly,"1,636.36",0.0000%,100.0000%,0.00,"1,636.36",N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,33.3300%,545.45,"1,090.91"
245,11-Apr-2022,19-Apr-2022,Engineering Advisor ,3840,"284,500.00",No,N/A,N/A,s.18(1)(b),Yes,Major subcontractor,Pty Ltd Company,None,Developer,Pty Ltd Company,Not known,Determined,03-May-2022,N/A,N/A,N/A,No,Yes,12-May-2022,"226,500.00",,Hourly,"1,943.18",0.0000%,100.0000%,0.00,"1,943.18",N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,33.3300%,647.73,"1,295.45"
246,11-Apr-2022,N/A,Painting works,3142,"37,759.70",Yes,s18,0.00,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,N/A,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,0.00,,Capped,0.00,0.0000%,0.0000%,0.00,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,No,0.0000%,0.00,0.00
247,11-Apr-2022,19-Apr-2022,Project Director Accelerator Program,3840,"14,800.00",No,N/A,N/A,s.18(1)(b),Yes,Major subcontractor,Pty Ltd Company,None,Developer,Pty Ltd Company,Not known,Determined,03-May-2022,N/A,N/A,N/A,No,Yes,12-May-2022,"14,800.00",,Hourly,"1,431.82",0.0000%,100.0000%,0.00,"1,431.82",N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,33.3300%,477.27,954.55
248,11-Apr-2022,19-Apr-2022,Security Co-ordinator,3840,"273,000.00",No,N/A,N/A,s.18(1)(b),Yes,Major subcontractor,Pty Ltd Company,None,Developer,Pty Ltd Company,Not known,Determined,03-May-2022,N/A,N/A,N/A,No,Yes,12-May-2022,"273,000.00",,Hourly,"1,534.09",0.0000%,100.0000%,0.00,"1,534.09",N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,33.3300%,511.36,"1,022.73"
249,12-Apr-2022,20-Apr-2022,New building ,3044,"345,454.55",Yes,s15,0.00,s.18(1)(a)(i),N/A,Head contractor,Pty Ltd Company,Solicitors,Developer,Pty Ltd Company,Solicitors,Determined,12-May-2022,N/A,Yes,Yes,Yes,Yes,16-May-2022,0.00,,Hourly,"7,261.36",100.0000%,0.0000%,"7,261.36",0.00,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,33.3300%,"2,420.45","4,840.91"
250,12-Apr-2022,19-Apr-2022,Steel Framing Design and Supply,3125,"4,920.00",Yes,s18,"2,460.00",s.18(1)(a)(i),Yes,Trade subcontractor,Pty Ltd Company,Claim preparer,Head contractor,Pty Ltd Company,Consultant,Not determined,N/A,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,0.00,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
251,12-Apr-2022,20-Apr-2022,Structural Steel ,3995,"379,391.64",Yes,s15,"63,133.87",s.18(1)(a)(i),N/A,Major subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Determined,05-May-2022,N/A,Yes,Yes,Yes,Yes,09-May-2022,"66,245.87",,Hourly,"25,363.64",100.0000%,0.0000%,"25,363.64",0.00,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,33.3300%,"8,454.55","16,909.09"
252,12-Apr-2022,20-Apr-2022,Thermal springs,3939,"28,264.53",Yes,s15,0.00,s.18(1)(a)(i),N/A,Trade subcontractor,Trust,Claim preparer,Head contractor,Pty Ltd Company,Solicitors,Determined,09-May-2022,N/A,Yes,Yes,Yes,Yes,19-May-2022,"24,452.57",,Hourly,"5,454.55",20.0000%,80.0000%,"1,090.91","4,363.64",N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,33.3300%,"1,818.18","3,636.37"
253,14-Apr-2022,21-Apr-2022,Mechanical Services ,3066,"38,948.00",Yes,s15,"18,765.00",s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,Not known,Determined,06-May-2022,N/A,No,N/A,No,Yes,09-May-2022,0.00,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,0.00
254,14-Apr-2022,21-Apr-2022,Painting works,3004,"40,000.00",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,N/A,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,0.00,,Capped,0.00,0.0000%,0.0000%,0.00,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,No,0.0000%,0.00,0.00
255,14-Apr-2022,22-Apr-2022,Structural Steel Fabrication ,3356,"19,884.95",No,N/A,N/A,s.18(1)(b),Yes,Major subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,Not known,Determined,29-Apr-2022,N/A,No,N/A,No,Yes,10-May-2022,"18,017.94",,Fixed,"1,980.00",0.0000%,100.0000%,0.00,"1,980.00",N/A,N/A,N/A,Yes,300.00,01-Jun-2022,N/A,N/A,Yes,33.3300%,660.00,"1,320.00"
256,19-Apr-2022,20-Apr-2022,Concreting works,3806,"15,624.00",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Head contractor,Sole Trader,None,Determined,04-May-2022,N/A,No,N/A,No,Yes,05-May-2022,"15,624.00",,Capped,"1,200.00",0.0000%,100.0000%,0.00,"1,200.00",N/A,N/A,0.00,Yes,0.00,17-May-2022,N/A,N/A,Yes,15.0000%,180.00,"1,020.00"
257,19-Apr-2022,20-Apr-2022,Construction works,3438,"310,802.05",Yes,s15,0.00,s.18(1)(a)(i),N/A,Head contractor,Pty Ltd Company,Solicitors,Developer,Pty Ltd Company,Solicitors,Determined,03-May-2022,N/A,Yes,Yes,Yes,Yes,03-May-2022,"298,700.13",,Hourly,"24,640.00",25.0000%,75.0000%,"6,160.00","18,480.00",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,"3,696.00","20,944.00"
258,20-Apr-2022,26-Apr-2022,Design and construct contract,3000,"34,409,879.00",Yes,s15,0.00,s.18(1)(a)(i),N/A,Head contractor,Pty Ltd Company,Solicitors,Developer,Pty Ltd Company,Solicitors,Determined,16-May-2022,N/A,Yes,Yes,Yes,Yes,20-May-2022,"11,073,883.00",,Hourly,"47,454.55",0.0000%,100.0000%,0.00,"47,454.55",N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,33.3300%,"15,818.18","31,636.37"
259,20-Apr-2022,26-Apr-2022,Roofing works,3820,"33,487.42",Yes,s15,0.00,s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,09-May-2022,N/A,No,N/A,Yes,Yes,09-May-2022,0.00,,Capped,500.00,100.0000%,0.0000%,500.00,0.00,N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,75.00,425.00
260,20-Apr-2022,26-Apr-2022,Roofing works,3820,"17,611.81",Yes,s15,0.00,s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,09-May-2022,N/A,No,N/A,Yes,Yes,09-May-2022,"5,220.90",,Capped,"3,500.00",0.0000%,100.0000%,0.00,"3,500.00",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,525.00,"2,975.00"
261,21-Apr-2022,N/A,Joinery works,3201,"1,153.00",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,N/A,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,0.00,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
262,22-Apr-2022,26-Apr-2022,Painting works,3163,"34,327.00",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,N/A,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,0.00,,Capped,0.00,0.0000%,0.0000%,0.00,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,No,0.0000%,0.00,0.00
263,26-Apr-2022,27-Apr-2022,Demolition works,3004,"499,412.40",Yes,s15,"184,591.32",s.18(1)(a)(i),N/A,Major subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Determined,18-May-2022,N/A,Yes,Yes,Yes,Yes,18-May-2022,"499,412.40",,Hourly,"33,300.00",25.0000%,72.0000%,"8,325.00","24,975.00",N/A,N/A,0.00,Yes,0.00,26-May-2022,N/A,N/A,Yes,15.0000%,"4,995.00","28,305.00"
264,26-Apr-2022,29-Apr-2022,Provision Of Carpentry ,3793,"12,480.00",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,Not known,Determined,N/A,N/A,N/A,N/A,No,Yes,06-May-2022,0.00,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,0.00
265,26-Apr-2022,28-Apr-2022,Structural steel works,3079,"39,531.53",Yes,s15,0.00,s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,11-May-2022,N/A,No,N/A,No,Yes,12-May-2022,"37,736.07",,Capped,"5,000.00",50.0000%,50.0000%,"2,500.00","2,500.00",N/A,N/A,0.00,Yes,0.00,23-May-2022,N/A,N/A,Yes,15.0000%,750.00,"4,250.00"
266,27-Apr-2022,N/A,Bored Piers,3053,"34,242.48",No,N/A,,s.18(1)(b),Yes,Major subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Not known,Not determined,N/A,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,0.00,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
267,27-Apr-2022,03-May-2022,Cladding works,3207,"333,511.26",Yes,s15,"-52,419.60",s.18(1)(a)(i),N/A,Major subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Not known,Not determined,N/A,Settled by parties,N/A,N/A,N/A,N/A,N/A,0.00,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
268,27-Apr-2022,28-Apr-2022,Supply of precast panels,3066,"122,720.78",Yes,s15,"79,009.47",s.18(1)(a)(i),N/A,Major subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,13-May-2022,N/A,Yes,Yes,Yes,Yes,13-May-2022,"97,433.71",,Hourly,"7,480.00",0.0000%,100.0000%,0.00,"7,480.00",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,"1,122.00","6,358.00"
269,28-Apr-2022,04-May-2022,Plumbing and Civil: Design and construction,3059,"1,529,089.97",Yes,s15,0.00,s.18(1)(a)(i),N/A,Major subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,Solicitors,Not determined,,Withdrawn by Claimant,,,,,,,,,N/A,,,,,,,,,,,,,,,,0.00
270,29-Apr-2022,02-May-2022,Cladding works,3011,"23,862.40",Yes,s15,0.00,s.18(1)(a)(i),N/A,Head contractor,Pty Ltd Company,None,Developer,Other,None,Determined,18-May-2022,N/A,No,N/A,Yes,Yes,18-May-2022,"23,862.40",,Capped,"2,400.00",0.0000%,100.0000%,0.00,"2,400.00",N/A,N/A,0.00,Yes,0.00,24-May-2022,N/A,N/A,Yes,15.0000%,360.00,"2,040.00"
271,29-Apr-2022,02-May-2022,Cladding works,3011,"23,862.40",Yes,s15,0.00,s.18(1)(a)(i),N/A,Head contractor,Pty Ltd Company,None,Developer,Other,None,Determined,16-May-2022,N/A,No,N/A,No,Yes,16-May-2022,"23,862.40",,Capped,"3,500.00",0.0000%,100.0000%,0.00,"3,500.00",N/A,N/A,0.00,Yes,0.00,24-May-2022,N/A,N/A,Yes,15.0000%,525.00,"2,975.00"
272,02-May-2022,04-May-2022,Steel framing works,3121,"56,869.09",Yes,s18,0.00,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,None,Not determined,N/A,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,0.00,,Capped,0.00,0.0000%,0.0000%,0.00,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,No,0.0000%,0.00,0.00
273,03-May-2022,04-May-2022,Electrical works,3658,"8,745.45",No,N/A,N/A,s.18(1)(b),Yes,Head contractor,Pty Ltd Company,None,Developer,Other,None,Determined,20-May-2022,N/A,Yes,Yes,Yes,Yes,26-May-2022,"8,245.45",,Capped,"1,200.00",0.0000%,100.0000%,0.00,"1,200.00",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,180.00,"1,020.00"
274,03-May-2022,09-May-2022,Provision of carpentry labour at various sites across Melbourne Victoria ,3089,"5,634.55",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Sole Trader,None,Head contractor,Pty Ltd Company,Not known,Determined,12-May-2022,N/A,N/A,N/A,No,Yes,13-May-2022,0.00,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,0.00
275,03-May-2022,09-May-2022,Provision of carpentry labour at various sites across Melbourne Victoria ,3089,"5,634.54",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Sole Trader,None,Head contractor,Pty Ltd Company,Not known,Determined,12-May-2022,N/A,N/A,N/A,No,Yes,13-May-2022,0.00,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,0.00
276,03-May-2022,09-May-2022,Provision of carpentry labour at various sites across Melbourne Victoria ,3089,"1,400.00",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Sole Trader,None,Head contractor,Pty Ltd Company,Not known,Determined,12-May-2022,N/A,N/A,N/A,No,Yes,13-May-2022,0.00,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,0.00
277,03-May-2022,09-May-2022,Provision of carpentry labour at various sites across Melbourne Victoria ,3089,"1,400.00",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Sole Trader,None,Head contractor,Pty Ltd Company,Not known,Determined,12-May-2022,N/A,N/A,N/A,No,Yes,13-May-2022,0.00,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,0.00
278,03-May-2022,09-May-2022,Provision of carpentry labour at various sites across Melbourne Victoria ,3754,200.00,No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Sole Trader,None,Head contractor,Pty Ltd Company,Not known,Determined,12-May-2022,N/A,N/A,N/A,No,Yes,13-May-2022,0.00,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,0.00
279,03-May-2022,09-May-2022,Provision of carpentry labour at various sites across Melbourne Victoria ,3754,200.00,No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Sole Trader,None,Head contractor,Pty Ltd Company,Not known,Determined,12-May-2022,N/A,N/A,N/A,No,Yes,13-May-2022,0.00,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,0.00
280,03-May-2022,09-May-2022,Provision of carpentry labour at various sites across Melbourne Victoria ,3754,150.00,No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Sole Trader,None,Head contractor,Pty Ltd Company,Not known,Determined,12-May-2022,N/A,N/A,N/A,No,Yes,13-May-2022,0.00,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,0.00
281,06-May-2022,11-May-2022,Concreting/Surveying ,3004,"24,867.50",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,Not known,Determined,30-May-2022,N/A,No,N/A,No,Yes,01-Jun-2022,"24,867.50",,Hourly,"1,295.45",0.0000%,100.0000%,0.00,"1,295.45",N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,33.3300%,431.82,863.63
282,09-May-2022,11-May-2022,Structural steel works,3122,"75,649.91",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,Solicitors,Determined,19-May-2022,N/A,No,N/A,No,Yes,19-May-2022,"74,614.91",,Capped,"4,080.00",0.0000%,100.0000%,0.00,"4,080.00",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,612.00,"3,468.00"
283,11-May-2022,16-May-2022,Bored Pilling,3146,"223,440.00",Yes,s15,"183,414.55",s.18(1)(a)(i),N/A,Major subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Not determined,N/A,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,0.00,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
